Timestamp,Nama,Usia saat ini,Siapa yang menyarankan Anda mengisi kuesioner ini?,Pada usia berapa Anda mengenal internet?,"Siapa yang memperkenalkan internet pertama kali kepada Anda? (dengan melihat, meniru, diajarkan langsung, dsb)",Apakah kamu pernah mengalami penyalahgunaan teknologi atau kejahatan internet?,"Jika pernah, penyalahgunaan teknologi atau kejahatan internet seperti apa yang kamu alami?","Jika pernah, di umur berapa Anda mengalaminya?",Menurut Anda seberapa parah penyalahgunaan teknologi atau kejahatan internet di Indonesia?,Menurut Anda seberapa penting adanya pendidikan digital di kalangan anak dan remaja?,Apakah peran orang tua dan guru dibutuhkan dalam pengenalan teknologi dan internet dengan baik kepada anak dan remaja?,Menurut Anda pendidikan digital model apa yang paling mudah diterima anak dan remaja?
24/05/2024 7:11:01,E****la,> 18 Tahun,B,<=18 Tahun,Teman / Saudara,Tidak Pernah,,,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 7:11:34,Izz****n,> 18 Tahun,B,<=18 Tahun,Orang tua,Pernah,Penipuan Online (Online Scam),<=18 Tahun,4,4,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 7:12:30,Tot****o,> 18 Tahun,B,>18 Tahun,Teman / Saudara,Pernah,Penipuan Online (Online Scam),>18 Tahun,5,1,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 7:24:01,And****a,> 18 Tahun,B,>18 Tahun,Guru,Pernah,Phishing (Misal berbasis file.apk),>18 Tahun,3,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 7:25:13,Aji****l,> 18 Tahun,B,<=18 Tahun,Orang tua,Pernah,"Penipuan Online (Online Scam), Phishing (Misal berbasis file.apk), Pemalsuan Data / Identitas",>18 Tahun,5,4,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 7:25:21,Ais****a,> 18 Tahun,B,>18 Tahun,Orang tua,Pernah,Penipuan Online (Online Scam),<=18 Tahun,3,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 7:25:30,Kuw****t,> 18 Tahun,B,<=18 Tahun,Guru,Pernah,Penipuan Online (Online Scam),<=18 Tahun,4,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 7:25:31,Joh****,> 18 Tahun,B,<=18 Tahun,Teman / Saudara,Pernah,Penipuan Online (Online Scam),<=18 Tahun,4,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 7:26:08,Han****a,> 18 Tahun,B,<=18 Tahun,Orang tua,Pernah,"Peretasan (Hacking), Cracking (Peretasan perangkat lunak)",>18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 7:27:40,Fai****h,> 18 Tahun,B,<=18 Tahun,"Orang tua, Teman / Saudara",Tidak Pernah,,,5,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 7:30:58,Ris****a,> 18 Tahun,B,<=18 Tahun,Teman / Saudara,Pernah,"Penipuan Online (Online Scam), Phishing (Misal berbasis file.apk), Pemalsuan Data / Identitas",>18 Tahun,4,4,Ya,Pemaparan materi (memberikan materi yang berfokus pada teknologi dan internet)
24/05/2024 7:37:30,Dia****i,> 18 Tahun,B,>18 Tahun,Teman / Saudara,Tidak Pernah,,,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 7:44:28,Alk****a,> 18 Tahun,C,<=18 Tahun,Teman / Saudara,Pernah,Pemalsuan Data / Identitas,<=18 Tahun,5,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 8:08:32,abd****f,> 18 Tahun,B,<=18 Tahun,Guru,Pernah,"Peretasan (Hacking), Cracking (Peretasan perangkat lunak)",>18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 8:21:09,And****i,> 18 Tahun,B,<=18 Tahun,Teman / Saudara,Tidak Pernah,,,1,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 8:25:31,Syi****h,> 18 Tahun,B,<=18 Tahun,Teman / Saudara,Tidak Pernah,,,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 8:38:53,Yul****o,> 18 Tahun,B,>18 Tahun,Teman / Saudara,Tidak Pernah,,,4,5,Ya,Pemaparan materi (memberikan materi yang berfokus pada teknologi dan internet)
24/05/2024 9:09:45,Ers****a,> 18 Tahun,B,<=18 Tahun,Teman / Saudara,Pernah,"Peretasan (Hacking), Pemalsuan Data / Identitas",>18 Tahun,4,5,Ya,Pemaparan materi (memberikan materi yang berfokus pada teknologi dan internet)
24/05/2024 9:24:28,Ahm****n,> 18 Tahun,C,<=18 Tahun,Teman / Saudara,Pernah,"Penipuan Online (Online Scam), Cracking (Peretasan perangkat lunak)",>18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 9:47:51,Aly****Z,> 18 Tahun,B,<=18 Tahun,Orang tua,Pernah,Penipuan Online (Online Scam),<=18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 10:00:48,Mau****,> 18 Tahun,C,<=18 Tahun,Teman / Saudara,Pernah,Cracking (Peretasan perangkat lunak),<=18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 10:07:15,Ali****a,> 18 Tahun,B,<=18 Tahun,"Orang tua, Teman / Saudara, Guru",Pernah,Penipuan Online (Online Scam),>18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 10:08:52,Ary****h,> 18 Tahun,C,<=18 Tahun,Orang tua,Pernah,Pemalsuan Data / Identitas,<=18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 10:16:42,nev****a,> 18 Tahun,A,<=18 Tahun,"Orang tua, Teman / Saudara",Tidak Pernah,,,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 10:39:18,Sep****.,> 18 Tahun,B,<=18 Tahun,Teman / Saudara,Pernah,"Penipuan Online (Online Scam), Peretasan (Hacking)",<=18 Tahun,5,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 10:45:30,Fel****o,> 18 Tahun,C,<=18 Tahun,"Teman / Saudara, Guru",Pernah,"Penipuan Online (Online Scam), Phishing (Misal berbasis file.apk)",<=18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 10:59:58,Emm****k,> 18 Tahun,C,<=18 Tahun,Orang tua,Tidak Pernah,,,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 11:01:54,Jes****e,> 18 Tahun,C,<=18 Tahun,"Orang tua, Teman / Saudara",Pernah,"Penipuan Online (Online Scam), Peretasan (Hacking)",>18 Tahun,5,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 11:03:14,Han****,> 18 Tahun,C,<=18 Tahun,Teman / Saudara,Tidak Pernah,,<=18 Tahun,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 11:03:28,Her****a,> 18 Tahun,C,>18 Tahun,Orang tua,Tidak Pernah,,,4,4,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 11:25:10,Taq****,> 18 Tahun,B,<=18 Tahun,Orang tua,Pernah,Penipuan Online (Online Scam),<=18 Tahun,3,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 11:25:39,Yer****a,> 18 Tahun,C,<=18 Tahun,"Orang tua, Teman / Saudara",Pernah,"Penipuan Online (Online Scam), Phishing (Misal berbasis file.apk), Pemalsuan Data / Identitas",<=18 Tahun,3,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 11:57:04,Rai****f,> 18 Tahun,B,<=18 Tahun,"Orang tua, Teman / Saudara",Tidak Pernah,,,3,3,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 12:18:08,Nis****a,> 18 Tahun,A,<=18 Tahun,Guru,Pernah,Penipuan Online (Online Scam),>18 Tahun,5,3,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 12:18:23,Sit****i,> 18 Tahun,A,>18 Tahun,Teman / Saudara,Pernah,"Penipuan Online (Online Scam), Phishing (Misal berbasis file.apk)",>18 Tahun,4,5,Ya,Pembelajaran proyek (memberikan studi kasus untuk memecahkan masalahnya)
24/05/2024 12:28:26,Rah****i,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Pernah,Penipuan Online (Online Scam),>18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 12:31:13,Dyt****n,> 18 Tahun,A,<=18 Tahun,Teman / Saudara,Pernah,Peretasan (Hacking),<=18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 13:45:50,Dwi****p,<= 18 Tahun,A,>18 Tahun,Teman / Saudara,Pernah,Peretasan (Hacking),<=18 Tahun,4,5,Ya,Pemaparan materi (memberikan materi yang berfokus pada teknologi dan internet)
24/05/2024 15:09:52,Nis****a,> 18 Tahun,B,<=18 Tahun,semua,Pernah,Penipuan Online (Online Scam),>18 Tahun,5,4,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 15:19:23,Muh****r,> 18 Tahun,C,<=18 Tahun,diri sendiri,Tidak Pernah,,,5,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 15:52:33,Ste****a,<= 18 Tahun,C,<=18 Tahun,Orang tua,Tidak Pernah,,,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
24/05/2024 18:14:26,Tia****a,> 18 Tahun,A,<=18 Tahun,"Orang tua, Teman / Saudara",Pernah,Penyalahgunaan web illegal (nonton/baca),<=18 Tahun,4,5,Ya,Pembelajaran interaktif (memberikan game edukatif terkait teknologi dan internet)
